school_1,school_2,date,time
LVILLE,CREIGH,2025-03-20,12:15 PM
PURDUE,HIGHPT,2025-03-20,12:40 PM
WISC,MNTNA,2025-03-20,1:30 PM
HOU,SIUE,2025-03-20,2:00 PM
AUBURN,ALST/SFTRPA,2025-03-20,2:50 PM
CLEM,MCNSE,2025-03-20,3:15 PM
BYU,VCU,2025-03-20,4:05 PM
GONZAG,UGA,2025-03-20,4:35 PM
TENN,WOFF,2025-03-20,6:50 PM
KANSAS,ARK,2025-03-20,7:10 PM
TEXAM,YALE,2025-03-20,7:25 PM
MIZZOU,DRAKE,2025-03-20,7:35 PM
UCLA,UTAHST,2025-03-20,9:25 PM
STJOHN,OMA,2025-03-20,9:45 PM
MICH,CALSD,2025-03-20,10:00 PM
TXTECH,NCWILM,2025-03-20,10:10 PM
MISSST,BAYLOR,2025-03-21,12:15 PM
BAMA,ROBERT,2025-03-21,12:40 PM
IOWAST,LPSCMB,2025-03-21,1:30 PM
MEMP,COLOST,2025-03-21,2:00 PM
DUKE,AMER/MOUNT,2025-03-21,2:50 PM
MARYCA,VANDY,2025-03-21,3:15 PM
MISS,SDGST/UNC,2025-03-21,4:05 PM
MD,GC,2025-03-21,4:35 PM
FLA,NORFLK,2025-03-21,6:50 PM
UK,TROY,2025-03-21,7:10 PM
MARQET,NMEX,2025-03-21,7:25 PM
ARIZ,AKRON,2025-03-21,7:35 PM
UCONN,OKLA,2025-03-21,9:25 PM
ILL,TEXAS/XAVIER,2025-03-21,9:45 PM
MICHST,BRYANT,2025-03-21,10:00 PM
OREG,LIB,2025-03-21,10:10 PM
